"Brand","Price","Processor_name","Core_per_processor","Total_processor","Execution_units","Threads","RAM_GB","RAM_type","Storage_capacity_GB","Storage_type","Graphics_brand","Graphics_GB","Graphics_integreted","Display_size_inches","ppi","Touch_screen","Operating_system"
"Lenovo",64990,"Intel Core i5",12,4,8,16,16,"LPDDR5",512," SSD","Intel",4,1,14,188.68,0,"Windows 11 OS"
"Lenovo",32990,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",47990,"Intel Core i5",10,2,8,12,8,"DDR4",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"Acer",53990,"Intel Core i5",8,4,4,12,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Infinix",74990,"Intel Core i9",14,6,8,20,32,"LPDDR5X",1000," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"ASUS",86990,"Intel Core i7",10,6,4,16,16,"DDR4",512," SSD","NVIDIA",6,0,16,141.51,0,"Windows 11 OS"
"HP",19979,"AMD Athlon",2,1,4,2,4,"DDR4",256," SSD","AMD",2,1,15.6,100.45,0,"DOS OS"
"MSI",37990,"AMD Ryzen 5",6,6,4,12,16,"DDR4",512," SSD","AMD",4,0,14,157.35,0,"Windows 11 OS"
"Dell",48990,"Intel Core i5",10,2,8,12,8,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",31990,"Intel Core i3",2,2,4,4,8,"DDR4",512," SSD","Intel",4,1,15.6,141.21,1,"Windows 11 OS"
"Lenovo",55390,"Intel Core i5",8,4,4,12,16,"LPDDR5",512," SSD","Intel",4,1,14,157.35,0,"Windows 11 OS"
"HP",96990,"AMD Ryzen 7",8,8,4,16,16,"LPDDR5",512," SSD","AMD",4,0,14,161.73,1,"Windows 11 OS"
"HP",37490,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",109990,"Intel Core i9",14,6,8,20,16,"LPDDR5",1000," SSD","Intel",6,0,15.6,211.82,0,"Windows 11 OS"
"Honor",46990,"Intel Core i5",8,4,4,12,16,"LPDDR4X",512," SSD","Intel",4,0,16,141.51,0,"Windows 11 OS"
"Lenovo",39990,"AMD Ryzen 5",6,6,4,12,8,"DDR4",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",65990,"Intel Core i5",8,4,4,12,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Zebronics",27990,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"Acer",78052,"Intel Core i5",8,4,4,12,16,"DDR5",512," SSD","NVIDIA",6,0,15.6,141.21,0,"Windows 11 OS"
"HP",79990,"AMD Ryzen 7",8,8,4,16,16,"DDR5",512," SSD","NVIDIA",6,0,16.1,136.83,0,"Windows 11 OS"
"MSI",52990,"Intel Core i5",6,6,4,12,16,"DDR4",1256,"Hard Disk & SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",25990,"Intel Celeron",2,1,4,2,4,"DDR4",256," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"Lenovo",55990,"AMD Ryzen 5",6,6,4,12,16,"DDR5",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",57990,"Intel Core i5",6,6,4,12,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",68990,"Intel Core i5",8,4,4,12,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",25580,"AMD Ryzen 3",2,2,4,4,8,"DDR4",512," SSD","AMD",2,0,15.6,141.21,0,"Windows 11 OS"
"Samsung",52990,"Intel Core i5",10,2,8,12,16,"LPDDR4",512," SSD","Intel",2,1,15.6,141.21,0,"Windows 11 OS"
"Apple",154900,"Apple M3",8,4,4,12,8,"DDR4",512," SSD","Apple",8,0,15.3,224.22,0,"Mac OS"
"Lenovo",54990,"AMD Ryzen 5",6,6,4,12,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",76990,"Intel Core Ultra",14,4,8,18,16,"LPDDR5",1000," SSD","Intel",4,0,14,161.73,0,"Windows 11 OS"
"ASUS",329990,"Intel Core i9",24,8,16,32,32,"DDR5",2000," SSD","NVIDIA",16,0,16,188.68,0,"Windows 11 OS"
"HP",69990,"AMD Ryzen 7",8,8,4,16,16,"DDR4",1000," SSD","AMD",6,0,15.6,141.21,0,"Windows 11 OS"
"Acer",34299,"Intel Core i3",6,2,4,8,16,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"MSI",599990,"Intel Core i9",16,6,8,22,32,"DDR5",2000," SSD","NVIDIA",16,0,18,251.57,0,"Windows 11 OS"
"Samsung",199990,"Intel Core Ultra",16,6,8,22,16,"LPDDR5X",512," SSD","Intel",4,0,16,212.26,1,"Windows 11 OS"
"Xiaomi",52990,"Intel Core i5",12,4,8,16,16,"LPDDR5",512," SSD","Intel",2,0,16,188.68,0,"Windows 11 OS"
"Apple",399900,"Apple M3",16,12,4,28,48,"Unified",1000," SSD","Apple",16,0,16.2,254.02,0,"Mac OS"
"Acer",32390,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",53990,"Intel Core i5",6,6,4,12,8,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",52499,"AMD Ryzen 5",6,6,4,12,16,"DDR4",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"Acer",37490,"AMD Ryzen 5",6,6,4,12,16,"DDR4",512," SSD","AMD",2,0,15.6,141.21,0,"Windows 11 OS"
"HP",89990,"Intel Core i5",8,4,4,12,16,"DDR5",512," SSD","NVIDIA",6,0,16.1,136.83,0,"Windows 11 OS"
"ASUS",64990,"Intel Core i7",10,6,4,16,16,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"Acer",57990,"Intel Core i5",8,4,4,12,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",89990,"AMD Ryzen 7",8,8,4,16,16,"DDR5",512," SSD","NVIDIA",6,0,15.6,141.21,0,"Windows 11 OS"
"HP",133999,"Intel Core Ultra",12,2,8,14,32,"LPDDR5",1000," SSD","Intel",4,1,14,161.73,1,"Windows 11 OS"
"ASUS",149990,"Intel Core i9",14,6,8,20,16,"DDR5",1000," SSD","NVIDIA",6,0,16,235.85,0,"Windows 11 OS"
"HP",112990,"AMD Ryzen 7",8,8,4,16,16,"DDR5",1000," SSD","NVIDIA",8,0,16.1,182.44,0,"Windows 11 OS"
"Acer",69990,"AMD Ryzen 7",8,8,4,16,16,"DDR5",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",38990,"AMD Ryzen 5",6,6,4,12,8,"DDR4",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"Dell",108000,"Intel Core i5",10,2,8,12,8,"DDR4",512," SSD","Intel",4,0,14,111.94,0,"Windows 11 OS"
"Lenovo",55390,"Intel Core i5",8,4,4,12,16,"LPDDR5",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
