"Brand","Price","Processor_name","Core_per_processor","Total_processor","Execution_units","Threads","RAM_GB","RAM_type","Storage_capacity_GB","Storage_type","Graphics_brand","Graphics_GB","Graphics_integreted","Display_size_inches","ppi","Touch_screen","Operating_system"
"Apple",174900,"Apple M3",8,4,4,12,16,"Unified",512," SSD","Apple",8,0,15.3,224.22,0,"Mac OS"
"HP",105990,"Intel Core i7",16,8,8,24,16,"DDR5",1000," SSD","NVIDIA",6,0,16.1,182.44,0,"Windows 11 OS"
"Samsung",138990,"Intel Core i7",10,2,8,12,16,"LPDDR5",1000," SSD","Intel",4,0,15.6,141.21,1,"Windows 11 OS"
"Samsung",163990,"Intel Core Ultra",16,6,8,22,16,"LPDDR5X",512," SSD","Intel",6,0,16,212.26,1,"Windows 11 OS"
"Samsung",114990,"Intel Core i5",10,2,8,12,16,"LPDDR5",512," SSD","Intel",4,0,15.6,141.21,1,"Windows 11 OS"
"Dell",64990,"Intel Core i5",12,4,8,16,16,"DDR4",512," SSD","Intel",4,1,16,137.68,0,"Windows 11 OS"
"MSI",169990,"Intel Core Ultra",16,6,8,22,32,"LPDDR5",1000," SSD","NVIDIA",8,0,16,188.68,0,"Windows 11 OS"
"ASUS",139990,"Intel Core Ultra",12,2,8,14,32,"LPDDR5X",1000," SSD","Intel",4,1,13.3,255.36,0,"Windows 11 OS"
"MSI",119990,"Intel Core Ultra",16,6,8,22,16,"LPDDR5",1000," SSD","Intel",6,1,16,188.73,0,"Windows 11 OS"
"Samsung",171990,"Intel Core Ultra",16,6,8,22,32,"LPDDR5X",1000," SSD","Intel",4,0,14,242.59,1,"Windows 11 OS"
"Samsung",149990,"Intel Core Ultra",16,6,8,22,16,"LPDDR5X",512," SSD","Intel",6,0,16,212.26,1,"Windows 11 OS"
"ASUS",129990,"Intel Core Ultra",12,2,8,14,16,"LPDDR5X",1000," SSD","Intel",4,1,13.3,255.36,0,"Windows 11 OS"
"HP",108999,"Intel Core Ultra",12,2,8,14,16,"LPDDR5",512," SSD","Intel",4,1,14,161.73,1,"Windows 11 OS"
"ASUS",30990,"Intel Pentium",2,2,4,4,8,"DDR4",256," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"HP",60799,"Intel Core i5",10,2,8,12,16,"DDR4",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"ASUS",102900,"Intel Core Ultra",14,4,8,18,16,"LPDDR5X",1000," SSD","Intel",4,0,14,242.59,1,"Windows 11 OS"
"HP",54990,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",4,1,14,157.35,1,"Windows 11 OS"
"Acer",38249,"Intel Core i3",6,2,4,8,16,"DDR4",1000," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"Infinix",43990,"Intel Core i5",10,2,8,12,16,"LPDDR4X",512," SSD","Intel",4,1,16,141.51,0,"Windows 11 OS"
"Lenovo",54990,"Intel Core i5",8,4,4,12,16,"LPDDR5",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"Lenovo",102990,"Intel Core i7",14,6,8,20,16,"DDR5",512," SSD","NVIDIA",6,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",53990,"Intel Core i5",6,6,4,12,8,"DDR4",512," SSD","NVIDIA",4,0,17,129.58,0,"Windows 11 OS"
"Infinix",36990,"Intel Core i3",6,2,4,8,16,"LPDDR4X",512," SSD","Intel",2,1,16,141.51,0,"Windows 11 OS"
"HP",24900,"AMD Ryzen 3",2,2,4,4,8,"DDR4",512," SSD","AMD",4,0,14,111.94,0,"DOS OS"
"Xiaomi",49990,"Intel Core i5",12,4,8,16,16,"LPDDR5",512," SSD","Intel",2,0,14,242.59,0,"Windows 11 OS"
"Samsung",129900,"Intel Core i7",10,2,8,12,16,"LPDDR5",512," SSD","Intel",4,0,13.3,165.63,1,"Windows 11 OS"
"HP",50790,"Intel Core i5",4,4,4,8,16,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",106590,"AMD Ryzen 7",8,8,4,16,16,"DDR5",1000," SSD","NVIDIA",6,0,16.1,136.83,0,"Windows 11 OS"
"HP",38990,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",103990,"AMD Ryzen 7",8,8,4,16,16,"DDR5",1000," SSD","NVIDIA",6,0,16.1,136.83,0,"Windows 11 OS"
"Acer",32490,"AMD Ryzen 5",4,4,4,8,8,"LPDDR5",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",16490,"Intel Celeron",2,1,4,2,8,"DDR4",128," SSD","Intel",2,0,11.6,135.09,0,"Windows 11 OS"
"HP",33690,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",4,1,15.6,100.45,0,"Windows 11 OS"
"Acer",60999,"Intel Core i5",8,4,4,12,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Zebronics",40990,"Intel Core i7",10,2,8,12,16,"DDR4",512," SSD","Intel",2,1,15.6,141.21,0,"Windows 11 OS"
"ASUS",81990,"AMD Ryzen 7",8,8,4,16,16,"DDR5",512," SSD","NVIDIA",4,0,17.3,127.34,0,"Windows 11 OS"
"HP",59990,"Intel Core i5",8,4,4,12,8,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Chuwi",27990,"Intel Core i3",6,2,4,8,12,"LPDDR4",512," SSD","Intel",2,1,13.5,200.84,1,"Windows 11 OS"
"Lenovo",94190,"AMD Ryzen 7",8,8,4,16,16,"DDR5",1000," SSD","AMD",4,0,14,242.59,1,"Windows 11 OS"
"HP",54990,"AMD Ryzen 5",6,6,4,12,8,"DDR5",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",34990,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",4,1,15.6,100.45,0,"Windows 11 OS"
"Acer",29990,"AMD Ryzen 5",6,6,4,12,8,"DDR4",512," SSD","AMD",4,0,14,111.94,0,"Windows 11 OS"
"Infinix",29990,"Intel Core i3",6,2,4,8,8,"LPDDR4X",512," SSD","Intel",4,1,14,157.35,0,"Windows 11 OS"
"ASUS",89650,"Intel Core i7",14,6,8,20,16,"DDR5",1000," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",70490,"Intel Core i5",10,2,8,12,16,"DDR4",1000," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"MSI",110990,"Intel Core i7",10,6,4,16,16,"DDR5",1000," SSD","NVIDIA",8,0,17.3,127.34,0,"Windows 11 OS"
"MSI",97990,"Intel Core i7",10,6,4,16,16,"DDR4",512," SSD","NVIDIA",8,0,15.6,141.21,0,"Windows 11 OS"
"MSI",45990,"Intel Core i5",6,6,4,12,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",104990,"Intel Core i7",10,6,4,16,16,"DDR5",512," SSD","NVIDIA",8,0,15.6,141.21,0,"Windows 11 OS"
"HP",113090,"AMD Ryzen 7",8,8,4,16,16,"DDR5",512," SSD","NVIDIA",8,0,16,137.68,0,"Windows 11 OS"
"ASUS",73990,"Intel Core i5",12,4,8,16,16,"DDR5",512," SSD","NVIDIA",4,0,17.3,127.34,0,"Windows 11 OS"
"ASUS",82500,"Intel Core i7",10,6,4,16,16,"DDR4",1000," SSD","NVIDIA",4,0,14,242.59,0,"Windows 11 OS"
"ASUS",101200,"AMD Ryzen 7",8,8,4,16,16,"DDR5",512," SSD","NVIDIA",6,0,14,215.63,0,"Windows 11 OS"
"ASUS",89990,"Intel Core i5",8,4,4,12,16,"DDR4",512," SSD","NVIDIA",6,0,16,141.51,0,"Windows 11 OS"
"MSI",51990,"Intel Core i5",6,6,4,12,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",26990,"AMD Ryzen 3",4,4,4,8,8,"DDR4",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"Apple",131590,"Apple M2",8,4,4,12,8,"DDR4",512," SSD","Apple",6,0,15.3,224.22,0,"Mac OS"
"Dell",51915,"Intel Core i5",10,2,8,12,16,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",62842,"Intel Core i7",10,2,8,12,16,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",69490,"Intel Core i5",12,4,8,16,16,"DDR4",512," SSD","Intel",2,1,15.6,141.21,0,"Windows 11 OS"
"ASUS",114000,"AMD Ryzen 9",8,8,4,16,16,"DDR5",1000," SSD","AMD",8,0,15.6,145.14,0,"Windows 11 OS"
"ASUS",122990,"Intel Core i5",12,4,8,16,16,"DDR5",512," SSD","NVIDIA",6,0,15.6,211.82,0,"Windows 11 OS"
"MSI",57990,"Intel Core i7",8,8,4,16,16,"DDR4",1256,"Hard Disk & SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",99990,"Intel Core i5",12,4,8,16,16,"DDR4",512," SSD","NVIDIA",4,0,14,242.59,0,"Windows 11 OS"
"Acer",99990,"Intel Core i5",14,6,8,20,16,"DDR5",512," SSD","NVIDIA",6,0,16,141.51,0,"Windows 11 OS"
"ASUS",64990,"Intel Core i5",12,4,8,16,16,"DDR4",512," SSD","Intel",2,1,15.6,141.21,0,"Windows 11 OS"
"Apple",113690,"Apple M2",8,4,4,12,8,"DDR4",256," SSD","Apple",6,0,15.3,224.22,0,"Mac OS"
"Infinix",22990,"Intel Celeron",4,1,4,4,8,"LPDDR4X",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"HP",38099,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",2,1,14,157.35,0,"Windows 11 OS"
"MSI",33990,"AMD Ryzen 5",6,6,4,12,8,"DDR4",512," SSD","AMD",4,0,14,157.35,0,"Windows 11 OS"
"MSI",31030,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",4,1,14,157.35,0,"Windows 11 OS"
"ASUS",35990,"AMD Ryzen 3",4,4,4,8,8,"LPDDR5",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"Samsung",64990,"Intel Core i5",10,2,8,12,8,"LPDDR4X",512," SSD","Intel",2,0,15.6,141.21,0,"Windows 11 OS"
"Samsung",81990,"Intel Core i7",10,2,8,12,16,"LPDDR4X",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",65990,"AMD Ryzen 7",8,8,4,16,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Samsung",117990,"Intel Core i7",12,4,8,16,16,"LPDDR4X",512," SSD","Intel",4,0,15.6,141.21,1,"Windows 11 OS"
"Dell",34980,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",40689,"Intel Core i3",10,2,8,12,8,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",60300,"AMD Ryzen 5",6,6,4,12,8,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",17990,"Intel Celeron",2,1,4,2,4,"LPDDR4",64," Hard Disk","Intel",2,1,14,111.94,1,"Chrome OS"
"Lenovo",18990,"AMD Athlon",2,1,4,2,8,"DDR4",256," SSD","AMD",2,0,14,157.35,0,"Windows 11 OS"
"Dell",45390,"AMD Ryzen 5",6,6,4,12,8,"DDR4",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",56990,"AMD Ryzen 5",6,6,4,12,8,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",96000,"Intel Core i7",10,6,4,16,16,"DDR5",1000," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",58990,"Intel Core i5",10,2,8,12,16,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",46938,"Intel Core i3",2,2,4,4,8,"DDR4",1256,"Hard Disk & SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"Dell",33994,"AMD Ryzen 3",4,4,4,8,8,"DDR4",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",48890,"AMD Ryzen 5",6,6,4,12,8,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",72000,"AMD Ryzen 7",8,8,4,16,16,"DDR5",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Apple",119990,"Apple M2",8,4,4,12,8,"Unified",256," SSD","Apple",4,0,13.3,226.98,0,"Mac OS"
"ASUS",21790,"Intel Celeron",2,1,4,2,4,"DDR4",256," SSD","Intel",4,0,15.6,100.45,0,"Windows 11 OS"
"HP",146990,"Intel Core i7",10,2,8,12,32,"LPDDR4X",1000," SSD","Intel",2,0,13.5,267.08,1,"Windows 11 OS"
"HP",174999,"Intel Core Ultra",16,6,8,22,16,"LPDDR5X",1000," SSD","NVIDIA",8,0,14,242.59,0,"Windows 11 OS"
"HP",120490,"Intel Core i7",10,2,8,12,16,"LPDDR5",512," SSD","NVIDIA",4,0,15.6,141.21,1,"Windows 11 OS"
"Lenovo",42990,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",4,1,16,137.68,0,"Windows 11 OS"
"HP",41990,"AMD Ryzen 5",4,4,4,8,8,"LPDDR5",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"Honor",56990,"Intel Core i5",8,4,4,12,16,"LPDDR4X",512," SSD","Intel",4,0,14,161.73,0,"Windows 11 OS"
"MSI",229990,"Intel Core Ultra",16,6,8,22,32,"DDR5",1000," SSD","NVIDIA",8,0,15.6,217.71,0,"Windows 11 OS"
"MSI",107990,"Intel Core Ultra",16,6,8,22,16,"DDR5",1000," SSD","NVIDIA",6,0,15.6,141.21,0,"Windows 11 OS"
"MSI",99990,"Intel Core Ultra",14,4,8,18,16,"DDR5",1000," SSD","NVIDIA",6,0,15.6,141.21,0,"Windows 11 OS"
"MSI",249990,"Intel Core Ultra",16,6,8,22,32,"DDR5",2000," SSD","NVIDIA",8,0,16,188.68,0,"Windows 11 OS"
"MSI",189990,"Intel Core Ultra",16,6,8,22,32,"LPDDR5",1000," SSD","NVIDIA",8,0,16,188.68,0,"Windows 11 OS"
"Samsung",122990,"Intel Core i7",10,2,8,12,16,"LPDDR5",512," SSD","Intel",4,0,15.6,141.21,1,"Windows 11 OS"
"Samsung",179990,"Intel Core Ultra",16,6,8,22,16,"LPDDR5X",1000," SSD","Intel",8,0,16,212.26,1,"Windows 11 OS"
"MSI",114990,"Intel Core Ultra",16,6,8,22,16,"LPDDR5",1000," SSD","Intel",6,0,13.3,255.36,0,"Windows 11 OS"
"MSI",159990,"Intel Core Ultra",16,6,8,22,32,"LPDDR5",1000," SSD","NVIDIA",6,0,16,188.68,0,"Windows 11 OS"
"Samsung",139990,"Intel Core Ultra",16,6,8,22,16,"LPDDR5X",512," SSD","Intel",4,0,14,242.59,1,"Windows 11 OS"
"Samsung",131990,"Intel Core Ultra",14,4,8,18,16,"LPDDR5X",512," SSD","Intel",4,0,14,242.59,1,"Windows 11 OS"
"Samsung",141990,"Intel Core Ultra",14,4,8,18,16,"LPDDR5X",512," SSD","Intel",4,0,16,212.26,1,"Windows 11 OS"
"Samsung",181990,"Intel Core Ultra",16,6,8,22,32,"LPDDR5X",1000," SSD","Intel",4,0,16,212.26,1,"Windows 11 OS"
"Lenovo",79999,"AMD Ryzen 7",8,8,4,16,16,"DDR4",512," SSD","AMD",4,0,14,157.35,0,"Windows 10 OS"
"ASUS",289990,"Intel Core i9",24,8,16,32,32,"DDR5",2000," SSD","NVIDIA",12,0,16,188.68,0,"Windows 11 OS"
"HP",60517,"AMD Ryzen 7",8,8,4,16,16,"DDR4",1000," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"Acer",83990,"Intel Core Ultra",14,4,8,18,16,"LPDDR5X",512," SSD","Intel",4,1,14,161.73,0,"Windows 11 OS"
"HP",195990,"Intel Core Ultra",16,6,8,22,32,"LPDDR5X",1000," SSD","NVIDIA",6,0,16,212.26,1,"Windows 11 OS"
"HP",115999,"AMD Ryzen 7",8,8,4,16,16,"DDR5",1000," SSD","NVIDIA",6,0,16.1,136.83,0,"Windows 11 OS"
"Dell",102099,"Intel Core i7",14,6,8,20,16,"DDR5",1000," SSD","NVIDIA",6,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",84990,"Intel Core i5",10,6,4,16,16,"DDR5",512," SSD","NVIDIA",6,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",43990,"Intel Core i3",6,2,4,8,8,"DDR5",512," SSD","Intel",4,0,14,157.35,0,"Windows 11 OS"
"HP",48790,"Intel Core i5",10,2,8,12,8,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",59990,"Intel Core i5",8,4,4,12,8,"DDR5",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"Lenovo",52990,"AMD Ryzen 5",6,6,4,12,16,"DDR4",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",174490,"Intel Core Ultra",16,6,8,22,32,"LPDDR5X",2000," SSD","Intel",6,0,16,212.26,1,"Windows 11 OS"
"HP",53799,"Intel Core i5",10,2,8,12,16,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",176499,"Intel Core i7",20,8,12,28,16,"DDR5",1000," SSD","NVIDIA",8,0,16.1,136.83,0,"Windows 11 OS"
"Chuwi",20990,"Intel Celeron",4,1,4,4,8,"LPDDR5",256," SSD","Intel",4,1,14.1,156.23,0,"Windows 11 OS"
"ASUS",43990,"Intel Core i5",4,4,4,8,16,"DDR4",512," SSD","Intel",4,1,14,157.35,0,"Windows 11 OS"
"Lenovo",59490,"Intel Core i5",8,4,4,12,16,"LPDDR5",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"Dell",81990,"Intel Core i5",10,6,4,16,16,"DDR5",1000," SSD","NVIDIA",6,0,15.6,141.21,0,"Windows 11 OS"
"Dell",187490,"Intel Core i9",24,8,16,32,16,"DDR5",1000," SSD","NVIDIA",8,0,16,188.68,0,"Windows 11 OS"
"Lenovo",53490,"Intel Core i5",8,4,4,12,16,"LPDDR5",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"Lenovo",40490,"AMD Ryzen 5",6,6,4,12,16,"DDR4",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"Acer",35999,"Intel Core i3",5,1,4,6,8,"LPDDR5",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",87190,"Intel Core i7",14,6,8,20,16,"LPDDR5",1000," SSD","Intel",4,0,16,188.68,0,"Windows 11 OS"
"Dell",57990,"Intel Core i3",6,2,4,8,8,"LPDDR5",512," SSD","Intel",2,0,14,161.73,1,"Windows 11 OS"
"Lenovo",64990,"Intel Core i5",8,4,4,12,16,"LPDDR5",1000," SSD","Intel",4,1,14,161.73,0,"Windows 11 OS"
"Lenovo",74190,"Intel Core i5",8,4,4,12,16,"LPDDR5",1000," SSD","Intel",4,1,14,161.73,0,"Windows 11 OS"
"Acer",31990,"Intel Core i3",8,1,8,8,8,"LPDDR5",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"Acer",45100,"Intel Core i5",10,2,8,12,16,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"Apple",230590,"Apple M3",12,6,6,18,18,"Unified",512," SSD","Apple",8,0,16.2,254.02,0,"Mac OS"
"Apple",176490,"Apple M3",8,4,4,12,8,"Unified",1000," SSD","Apple",8,0,14.2,253.93,0,"Mac OS"
"Apple",289690,"Apple M3",14,10,4,24,36,"Unified",1000," SSD","Apple",12,0,14.2,253.93,0,"Mac OS"
"Apple",224990,"Apple M3",12,6,6,18,18,"Unified",1000," SSD","Apple",6,0,14.2,253.93,0,"Mac OS"
"ASUS",16990,"Intel Celeron",2,1,4,2,8,"LPDDR4X",128," Hard Disk","Intel",4,1,15.6,141.21,0,"Chrome OS"
"Lenovo",58900,"AMD Ryzen 5",6,6,4,12,8,"DDR5",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Dell",36990,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"Lenovo",50390,"AMD Ryzen 5",4,4,4,8,8,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",94490,"Intel Core i7",10,6,4,16,16,"DDR4",512," SSD","NVIDIA",6,0,15.6,141.21,0,"Windows 11 OS"
"Microsoft",78890,"Intel Core i5",10,2,8,12,8,"LPDDR5",256," SSD","Intel",4,0,12.4,148.87,1,"Windows 11 OS"
"HP",58999,"Intel Core i5",8,4,4,12,8,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",50990,"AMD Ryzen 7",8,8,4,16,16,"DDR4",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",79990,"AMD Ryzen 7",8,8,4,16,16,"DDR4",1000," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",47990,"AMD Ryzen 5",4,4,4,8,16,"LPDDR5",512," SSD","AMD",2,0,14,157.35,0,"Windows 11 OS"
"ASUS",43990,"Intel Core i3",6,2,4,8,16,"DDR4",512," SSD","Intel",2,1,16,141.51,0,"Windows 11 OS"
"MSI",44990,"Intel Core i5",6,6,4,12,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",132190,"AMD Ryzen 7",8,8,4,16,16,"DDR5",1000," SSD","NVIDIA",8,0,16,188.68,0,"Windows 11 OS"
"Lenovo",32290,"AMD Ryzen 3",4,4,4,8,8,"LPDDR5",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",75000,"Intel Core i5",8,4,4,12,16,"DDR4",512," SSD","NVIDIA",6,0,16,141.51,0,"Windows 11 OS"
"ASUS",104990,"Intel Core i5",12,4,8,16,16,"DDR4",512," SSD","NVIDIA",6,0,16,141.51,0,"Windows 11 OS"
"Lenovo",66990,"AMD Ryzen 7",8,8,4,16,8,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",91190,"Intel Core i5",12,4,8,16,16,"LPDDR5",1000," SSD","Intel",2,1,14,242.59,1,"Windows 11 OS"
"ASUS",27990,"Intel Celeron",2,1,4,2,8,"DDR4",256," SSD","Intel",4,1,14,157.35,0,"Windows 11 OS"
"HP",339999,"Intel Core i9",24,8,16,32,32,"DDR5",1000," SSD","NVIDIA",16,0,17.3,169.78,0,"Windows 11 OS"
"Lenovo",48490,"AMD Ryzen 5",4,4,4,8,8,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Acer",19990,"Intel Celeron",2,1,4,2,8,"DDR4",256," SSD","Intel",2,1,11.6,135.09,0,"Windows 11 OS"
"ASUS",71990,"Intel Core i5",12,4,8,16,8,"DDR5",512," SSD","NVIDIA",4,0,17.3,127.34,0,"Windows 11 OS"
"Lenovo",80990,"Intel Core i5",12,4,8,16,16,"LPDDR5X",1000," SSD","Intel",4,1,14,161.73,0,"Windows 11 OS"
"Acer",17990,"Intel Celeron",2,1,4,2,8,"DDR4",128," SSD","Intel",4,1,11.6,135.09,0,"Windows 11 OS"
"HP",34999,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"Lenovo",139190,"Intel Core i7",10,6,4,16,16,"DDR5",1000," SSD","NVIDIA",8,0,16,188.68,0,"Windows 11 OS"
"HP",66990,"Intel Core i5",10,2,8,12,16,"DDR4",1000," SSD","Intel",2,1,14,157.35,0,"Windows 11 OS"
"Acer",47990,"Intel Core i7",4,4,4,8,16,"DDR4",1000," SSD","Intel",4,1,14,157.35,0,"Windows 11 OS"
"Lenovo",61712,"AMD Ryzen 5",6,6,4,12,8,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"MSI",79990,"AMD Ryzen 7",8,8,4,16,16,"DDR5",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",27990,"Intel Celeron",2,1,4,2,8,"DDR4",512," SSD","Intel",4,0,14,111.94,0,"Windows 11 OS"
"ASUS",95689,"Intel Core i9",14,6,8,20,16,"DDR4",1000," SSD","Intel",4,1,16,141.51,0,"Windows 11 OS"
"ASUS",72300,"AMD Ryzen 7",8,8,4,16,16,"DDR4",1000," SSD","AMD",4,0,14,161.73,1,"Windows 11 OS"
"Lenovo",63889,"AMD Ryzen 5",6,6,4,12,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",46490,"AMD Ryzen 5",4,4,4,8,8,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Dell",42990,"Intel Core i5",4,4,4,8,8,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"Dell",55600,"Intel Core i5",10,2,8,12,8,"DDR4",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"ASUS",94990,"Intel Core i5",10,6,4,16,16,"DDR5",1000," SSD","NVIDIA",6,0,16,141.51,0,"Windows 11 OS"
"Dell",36990,"AMD Ryzen 5",6,6,4,12,8,"DDR4",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"Infinix",36990,"Intel Core i5",4,4,4,8,16,"LPDDR4X",1000," SSD","Intel",4,1,14,157.35,0,"Windows 11 OS"
"HP",50490,"AMD Ryzen 5",6,6,4,12,8,"DDR4",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",97000,"Intel Core i5",12,4,8,16,16,"DDR4",512," SSD","NVIDIA",6,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",41990,"Intel Core i3",6,2,4,8,16,"DDR4",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"HP",72490,"Intel Core i5",10,2,8,12,16,"DDR4",1000," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"HP",28990,"Intel Celeron",2,1,4,2,8,"DDR4",512," SSD","Intel",4,1,15.6,100.45,0,"Windows 11 OS"
"ASUS",72990,"AMD Ryzen 7",8,8,4,16,16,"LPDDR5",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",62190,"Intel Core i5",8,4,4,12,16,"LPDDR5",512," SSD","Intel",4,0,16,141.51,0,"Windows 11 OS"
"HP",23999,"AMD Ryzen 3",2,2,4,4,8,"DDR4",512," SSD","AMD",4,0,15.6,100.45,0,"DOS OS"
"Lenovo",37990,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",44800,"AMD Ryzen 5",6,6,4,12,16,"DDR4",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",60190,"Intel Core i5",8,4,4,12,16,"LPDDR5",512," SSD","Intel",4,0,14,157.35,0,"Windows 11 OS"
"Lenovo",45990,"AMD Ryzen 5",4,4,4,8,16,"LPDDR5",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
