"","voyage_1","voyage_2","voyage_3","voyage_4","voyage_5","voyage_6","voyage_7","variable","pca","arma"
"voyage_1",NA,"3.37/4.83(30.02%)","3.5/5.18(32.38%)","2.92/4.29(31.85%)","3.42/5(31.63%)","3.91/5.76(31.6%)","2.8/3.94(28.83%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_2","2.91/4.39(33.78%)",NA,"3.29/5.18(36.37%)","2.76/4.29(35.58%)","3.21/5(35.74%)","3.66/5.76(35.76%)","2.65/3.94(32.64%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_3","3.97/4.39(10.46%)","4.13/4.83(21.46%)",NA,"3.87/4.29(10.37%)","4.16/5(18%)","4.45/5.76(33.2%)","3.8/3.94(3.53%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_4","2.39/4.39(45.72%)","2.58/4.83(46.15%)","2.67/5.18(48.14%)",NA,"2.61/5(47.79%)","2.94/5.76(48.31%)","2.2/3.94(44.22%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_5","2.87/4.39(34.64%)","3.15/4.83(35.05%)","3.29/5.18(36.76%)","2.71/4.29(36.88%)",NA,"3.7/5.76(36.29%)","2.59/3.94(34.27%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_6","3.42/4.39(22.17%)","3.73/4.83(22.72%)","3.87/5.18(25.11%)","3.24/4.29(24.39%)","3.78/5(24.34%)",NA,"3.11/3.94(20.98%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,0,0,0,1,1,0"
"voyage_7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
