"","voyage_1","voyage_2","voyage_3","variable","pca","arma"
"voyage_1",NA,"3.14/3.83(17.13%)","1.95/1.8(17.11%)","Time,V","Torque,EngineSpeed,Power,WaterSpeed","5,3,0,0,1,1,0"
"voyage_2","3.41/3.93(13.71%)",NA,"2.11/1.8(23.49%)","Time,V","Torque,EngineSpeed,Power,WaterSpeed","5,1,0,0,1,1,0"
"voyage_3",NA,NA,NA,NA,NA,NA
