"","voyage_1","voyage_2","voyage_3","voyage_4","voyage_5","voyage_6","variable","pca","arma"
"voyage_1",NA,"4.61/4.2(13.54%)","3.04/2.33(33.34%)","5.67/5.83(17.14%)","2.8/1.88(56.56%)","2.65/1.73(74.79%)","V","Torque,EngineSpeed,Power,WaterSpeed","5,0,0,0,1,1,0"
"voyage_2","5.34/5.85(9.31%)",NA,"2.26/2.33(4.38%)","5.08/5.83(11.85%)","2.01/1.88(8.68%)","1.84/1.73(11.7%)","V","Torque,EngineSpeed,Power,WaterSpeed","5,0,0,0,1,1,0"
"voyage_3","5.23/5.85(11.51%)","3.92/4.2(7.71%)",NA,"4.99/5.83(13.9%)","2.09/1.88(14.26%)","1.94/1.73(20.27%)","V","Torque,EngineSpeed,Power,WaterSpeed","4,0,0,0,1,1,0"
"voyage_4","5.78/5.85(2.47%)","4.19/4.2(2.26%)","2.26/2.33(4.28%)",NA,"1.97/1.88(5.73%)","1.78/1.73(5.85%)","V","Torque,EngineSpeed,Power,WaterSpeed","0,1,0,0,1,1,0"
"voyage_5","4.69/5.85(20.33%)","3.33/4.2(21.67%)","1.69/2.33(27.89%)","4.44/5.83(23.11%)",NA,"1.29/1.73(30.4%)","V","Torque,EngineSpeed,Power,WaterSpeed","2,0,0,0,1,1,0"
"voyage_6",NA,NA,NA,NA,NA,NA,NA,NA,NA
