Draft,Trim,V,PE,DISP,PR
8.5,2,18,15995,70235.8,0.941380730975222
8.5,2,19.5,20550,70235.8,0.957997296163349
8.5,2,21,25633,70235.8,0.958959970071081
8.5,2,23,34237,70235.8,0.973914774990044
8.5,2.5,13,5193,70235.8,0.83088
8.5,2.5,15,8923,70235.8,0.903046250379516
8.5,2.5,16.5,12217,70235.8,0.928908150851581
8.5,2.5,18,15968,70235.8,0.939791654405273
8.5,2.5,19.5,20111,70235.8,0.937532049787889
8.5,2.5,21,25228,70235.8,0.943808454919566
8.5,2.5,23,33641,70235.8,0.956960801046823
8.5,3.5,13,5147,70235.8,0.82352
8.5,3.5,15,8875,70235.8,0.898188442465337
8.5,3.5,16.5,12151,70235.8,0.923889902676399
8.5,3.5,18,15915,70235.8,0.936672355953152
8.5,3.5,19.5,19234,70235.8,0.896648174910261
8.5,3.5,21,24417,70235.8,0.913468013468013
8.5,3.5,23,32450,70235.8,0.923081299425385
8.5,4.5,13,5102,70235.8,0.81632
8.5,4.5,15,8826,70235.8,0.893229430219613
8.5,4.5,16.5,12084,70235.8,0.918795620437956
8.5,4.5,18,15962,70235.8,0.939438526278618
8.5,4.5,19.5,18356,70235.8,0.85571768215934
8.5,4.5,21,23607,70235.8,0.883164983164983
8.5,4.5,23,31260,70235.8,0.889230244068954
10,-2,13,5840,85688,0.9344
10,-2,15,9647,85688,0.976318186418379
10,-2,16.5,13185,85688,1.00250912408759
10,-2,18,16889,85688,0.99399682184686
10,-2,19.5,20889,85688,0.973800755209547
10,-2,21,25797,85688,0.965095398428732
10,-2,23,34264,85688,0.97468282414519
10,-1,13,5960,85688,0.9536
10,-1,15,9915,85688,1.00344094727254
10,-1,16.5,13445,85688,1.02227798053528
10,-1,18,17497,85688,1.0297804720146
10,-1,19.5,21654,85688,1.0094634282784
10,-1,21,26766,85688,1.0013468013468
10,-1,23,34636,85688,0.9852648347272
10,0,13,6048,85688,0.96768
10,0,15,10096,85688,1.02175893128226
10,0,16.5,13827,85688,1.05132299270073
10,0,18,17930,85688,1.05526455182155
10,0,19.5,22458,85688,1.04694419840567
10,0,21,27513,85688,1.02929292929293
10,0,23,34210,85688,0.973146725834898
10,0.75,13,6093,85688,0.97488
10,0.75,15,10263,85688,1.03866005465034
10,0.75,16.5,14033,85688,1.06698600973236
10,0.75,18,18469,85688,1.08698722853275
10,0.75,19.5,22955,85688,1.0701132814321
10,0.75,21,27450,85688,1.02693602693603
10,0.75,23,34047,85688,0.968509984639017
10,1,13,6074,85688,0.97184
10,1,15,10280,85688,1.04038052828661
10,1,16.5,14117,85688,1.07337287104623
10,1,18,18619,85688,1.09581543169913
10,1,19.5,22948,85688,1.06978695631905
10,1,21,27251,85688,1.0194912083801
10,1,23,34100,85688,0.970017636684303
10,1.5,13,6055,85688,0.9688
10,1.5,15,10297,85688,1.04210100192288
10,1.5,16.5,14201,85688,1.0797597323601
10,1.5,18,18768,85688,1.10458478017774
10,1.5,19.5,22942,85688,1.0695072490793
10,1.5,21,27051,85688,1.01200897867565
10,1.5,23,34153,85688,0.97152528872959
10,2,13,5955,85688,0.9528
10,2,15,10263,85688,1.03866005465034
10,2,16.5,14246,85688,1.08318126520681
10,2,18,18595,85688,1.09440291919251
10,2,19.5,22563,85688,1.05183907510139
10,2,21,26914,85688,1.0068836513281
10,2,23,34453,85688,0.980059168231211
10,2.5,13,5854,85688,0.93664
10,2.5,15,10229,85688,1.0352191073778
