"","estimate","S.E.","odds ratio","p-value"
"Intercept",156.274443562975,8020.3636358118,NA,0.984454435970298
"Gender",-2.04792952585405,191.633289306343,0.129,0.991473400814231
"APOE",12.2532522625347,553.117176744363,209662.057,0.982325840520305
"CASI_score",-1.65906722217973,84.0051107921433,0.19,0.98424312448606
"Intercept",-11.3184743970909,0.655221622990372,NA,0
"Gender",-0.0497377000240634,0.490689360130522,0.951,0.919262380624378
"APOE",0.226526627204444,0.652218923079547,1.254,0.728353287174747
"CASI_score",-0.0122256426956123,0.0251076284035493,0.988,0.626308355996392
