start,end,start_time,end_time,start_location,end_location,way
11821,18196,2019/8/3 11:10,2019/8/25 19:30,科隆（巴拿馬）,釜山（韓國）,W
20471,25533,2019/9/7 20:00,2019/9/26 10:35,洋山（中國）,科隆（巴拿馬）,E
31331,36232,2019/10/17 22:30,2019/11/4 11:20,科隆（巴拿馬）,釜山（韓國）,W
42065,45693,2019/11/26 01:25,2019/12/8 23:00,鹽田（中國）,塔科馬（美國）,E
47417,48938,2019/12/15 01:25,2019/12/27 04:55,溫哥華（加拿大）,高雄（臺灣）,W
48966,51666,2020/1/16 21:40,2020/1/26 11:35,鹽田（中國）,塔科馬（美國）,E
55173,58436,2020/2/7 17:35,2020/2/19 22:30,溫哥華（加拿大）,高雄（臺灣）,W
63612,67272,2020/3/9 16:30,2020/3/23 21:20,鹽田（中國）,塔科馬（美國）,E
69173,72755,2020/3/30 19:45,2020/4/17 04:45,羅伯茨角（美國）,高雄（臺灣）,W
78499,82732,2020/5/7 03:35,2020/5/21 20:20,鹽田（中國）,塔科馬（美國）,E
84606,87938,2020/5/28 08:30,2020/6/8 22:10,羅伯茨角（加拿大）,東京（日本）,W
98437,99647,2020/7/23 17:00,2020/8/3 22:00,羅伯茨角（加拿大）,東京（日本）,W
