start,end,start_time,end_time,start_location,end_location
733,5936,2017/10/29 18:25,2017/11/17 04:00,釜山（韓國）,科隆（巴拿馬）
11882,15811,2018/11/18 00:15,2018/12/3 11:25,寧波（中國）,長堤（美國）
23601,26824,2019/1/1 07:10,2019/1/14 12:20,寧波（中國）,長堤（美國）
34767,37948,2019/2/13 07:10,2019/2/24 20:45,釜山（韓國）,長堤（美國）
43999,46101,2019/4/1 00:00,2019/4/13 16:15,寧波（中國）,長堤（美國）
56280,60568,2019/5/27 09:55,2019/6/11 21:45,上海（中國）,長堤（美國）
68230,71388,2019/7/11 03:20,2019/7/23 20:20,釜山（韓國）,長堤（美國）
78790,80768,2019/8/23 09:00,2019/9/4 11:25,釜山（韓國）,長堤（美國）
89373,93096,2019/10/5 20:10,2019/10/18 21:25,上海（中國）,長堤（美國）
101674,104816,2019/11/21 03:05,2019/12/5 22:25,鹽田（中國）,長堤（美國）
112416,116112,2020/1/2 12:15,2020/1/15 23:00,鹽田（中國）,長堤（美國）
124576,128608,2020/2/14 23:00,2020/2/28 23:00,高雄,長堤（美國）
136132,139581,2020/3/26 16:00,2020/4/10 13:00,鹽田（中國）,長堤（美國）
156763,160603,2020/6/10 20:00,2020/6/24 11:00,基隆,長堤（美國）
