start,end,start_time,end_time,start_location,end_location,way
34767,37948,2019/2/13 07:10,2019/2/24 20:45,釜山（韓國）,長堤（美國）,E
39834,43820,2019/3/5 14:30,2019/3/20 23:30,奧克蘭港（美國）,青島（中國）,W
43999,46101,2019/4/1 00:00,2019/4/13 16:15,寧波（中國）,長堤（美國）,E
48086,51847,2019/4/21 11:45,2019/5/8 07:15,奧克蘭港（美國）,青島（中國）,W
56280,60568,2019/5/27 09:55,2019/6/11 21:45,上海（中國）,長堤（美國）,E
61885,65704,2019/6/17 02:05,2019/7/1 21:35,長堤（美國）,釜山（韓國）,W
68230,71388,2019/7/11 03:20,2019/7/23 20:20,釜山（韓國）,長堤（美國）,E
73007,77255,2019/7/30 01:55,2019/8/15 04:35,長堤（美國）,釜山（韓國）,W
78790,80768,2019/8/23 09:00,2019/9/4 11:25,釜山（韓國）,長堤（美國）,E
82519,87184,2019/9/10 13:40,2019/9/26 18:35,長堤（美國）,釜山（韓國）,W
89373,93096,2019/10/5 20:10,2019/10/18 21:25,上海（中國）,長堤（美國）,E
94625,98356,2019/10/24 11:00,2019/11/7 20:15,長堤（美國）,釜山（韓國）,W
101674,104816,2019/11/21 03:05,2019/12/5 22:25,鹽田（中國）,長堤（美國）,E
106886,110210,2019/12/13 10:10,2019/12/25 13:10,奧克蘭港（美國）,神戶（日本）,W
112416,116112,2020/1/2 12:15,2020/1/15 23:00,鹽田（中國）,長堤（美國）,E
118389,121252,2020/1/24 04:00,2020/2/3 22:00,奧克蘭港（美國）,神戶（日本）,W
124576,128608,2020/2/14 23:00,2020/2/28 23:00,高雄,長堤（美國）,E
130480,133743,2020/3/6 11:00,2020/3/17 22:00,奧克蘭港（美國）,神戶（日本）,W
136132,139581,2020/3/26 16:00,2020/4/10 13:00,鹽田（中國）,長堤（美國）,E
141585,144846,2020/4/17 19:00,2020/4/29 03:00,奧克蘭港（美國）,神戶（日本）,W
156763,160603,2020/6/10 20:00,2020/6/24 11:00,基隆,長堤（美國）,E
