start,end,start_time,end_time,start_location,end_location,way
33086,38879,2018/2/22 13:40,2018/3/15 02:30,洋山(中國),巴拿馬運河南部,E
41027,47006,2018/4/4 15:30,2018/4/27 22:05,巴拿馬運河南部,釜山(韓國),W
50608,56087,2018/5/10 17:10,2018/5/30 06:20,洋山(中國),巴拿馬運河南部,E
61752,67402,2018/6/19 09:00,2018/7/9 10:50,巴拿馬運河南部,釜山(韓國),W
96534,99730,2019/1/21 01:10,2019/2/8 01:05,巴拿馬運河南部,釜山(韓國),W
102923,105890,2019/2/20 10:05,2019/3/3 16:25,釜山(韓國),魯佩特王子港(加拿大),E
108270,112043,2019/3/12 11:20,2019/3/26 23:30,西雅圖港(美國),釜山(韓國),W
114704,118249,2019/4/7 12:00,2019/4/22 08:20,寧波(中國),羅伯茨角(加拿大),E
119509,121722,2019/4/30 00:00,2019/5/7 21:15,西雅圖港(美國),釜山(韓國),W
125854,129290,2019/5/22 14:50,2019/6/3 20:40,釜山(韓國),羅伯茨角(加拿大),E
134076,137052,2019/8/16 06:20,2019/8/26 14:35,釜山(韓國),羅伯茨角(加拿大),E
137426,139715,2019/9/1 12:20,2019/9/11 19:15,羅伯茨角(加拿大)???,釜山(韓國),W
144488,147358,2019/9/29 19:20,2019/10/11 07:40,釜山(韓國),羅伯茨角(加拿大),E
148002,151617,2019/10/13 21:55,2019/10/27 09:05,羅伯茨角(加拿大),釜山(韓國),W
156265,159060,2019/11/13 00:15,2019/11/22 22:55,釜山(韓國),羅伯茨角(加拿大),E
164715,168124,2020/1/28 12:00,2020/2/9 23:00,鹽田(中國),西雅圖港(美國),E
172960,177268,2020/2/27 02:00,2020/3/13 23:55,羅伯茨角(加拿大),高雄,W
182412,186132,2020/4/7 08:00,2020/4/20 21:00,鹽田(中國),西雅圖港(美國),E
188424,192816,2020/4/29 04:00,2020/5/15 06:00,羅伯茨角(加拿大),高雄,W
201960,204518,2020/6/18 05:00,2020/6/30 23:00,鹽田(中國),西雅圖港(美國)/羅伯茨角(加拿大),E
205279,209736,2020/7/7 10:00,2020/7/20 23:00,羅伯茨角(加拿大),東京港(日本),W
