start,end,start_time,end_time,start_location,end_location
12719,18170,2017/11/6 17:30,2017/11/26 19:10,巴拿馬運河南部,釜山(韓國)
27755,29699,2018/1/12 20:15,2018/2/10 12:35,維珍尼亞(美國),釜山(韓國)
41027,47006,2018/4/4 15:30,2018/4/27 22:05,巴拿馬運河南部,釜山(韓國)
61752,67402,2018/6/19 09:00,2018/7/9 10:50,巴拿馬運河南部,釜山(韓國)
96534,99730,2019/1/21 01:10,2019/2/8 01:05,巴拿馬運河南部,釜山(韓國)
108270,112043,2019/3/12 11:20,2019/3/26 23:30,西雅圖港(美國),釜山(韓國)
119509,121722,2019/4/30 00:00,2019/5/7 21:15,西雅圖港(美國),釜山(韓國)
137426,139715,2019/9/1 12:20,2019/9/11 19:15,羅伯茨角(加拿大)???,釜山(韓國)
148002,151617,2019/10/13 21:55,2019/10/27 09:05,羅伯茨角(加拿大),釜山(韓國)
172960,177268,2020/2/27 02:00,2020/3/13 23:55,羅伯茨角(加拿大),高雄
188424,192816,2020/4/29 04:00,2020/5/15 06:00,羅伯茨角(加拿大),高雄
205279,209736,2020/7/7 10:00,2020/7/20 23:00,羅伯茨角(加拿大),東京港(日本)
