start,end,start_time,end_time,start_location,end_location
1934,6698,2018/1/21 18:20,2018/2/8 14:55,釜山（韓國）,科隆（巴拿馬）
18088,21352,2018/4/10 00:00,2018/4/21 13:05,釜山（韓國）,科隆（巴拿馬）
60063,64032,2020/1/23 03:05,2020/2/5 22:05,鹽田（中國）,塔科馬（美國）
70994,74742,2020/3/23 09:40,2020/4/6 20:50,鹽田（中國）,塔科馬（美國）
98526,102398,2020/7/8 00:05,2020/7/21 10:55,臺中,長堤（美國）
