start,end,start_time,end_time,start_location,end_location
11821,18196,2019/8/3 11:10,2019/8/25 19:30,科隆（巴拿馬）,釜山（韓國）
31331,36232,2019/10/17 22:30,2019/11/4 11:20,科隆（巴拿馬）,釜山（韓國）
47417,48938,2019/12/15 01:25,2019/12/27 04:55,溫哥華（加拿大）,高雄（臺灣）
55173,58436,2020/2/7 17:35,2020/2/19 22:30,溫哥華（加拿大）,高雄（臺灣）
69173,72755,2020/3/30 19:45,2020/4/17 04:45,羅伯茨角（美國）,高雄（臺灣）
84606,87938,2020/5/28 08:30,2020/6/8 22:10,羅伯茨角（加拿大）,東京（日本）
98437,99647,2020/7/23 17:00,2020/8/3 22:00,羅伯茨角（加拿大）,東京（日本）
